year2,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,3417863,4153771,66094237,63973743,697742,17.1,526008,12.9,13921732,5860068,8061664,9.2,21.8,9711055,3909354,5801701,6.1,15.2,4210677,6.6,30.4,351016,353292,2.23E6
1978,3470340,4222744,69672795,67858721,626903,15,548972,13.1,14065273,4559536,9505737,6.7,20.7,10391111,4283646,6107465,6.3,15.3,3674162,5.4,30.6,360662,362886,2.13E6
1979,3598296,4376414,74022115,71861737,641794,14.9,471901,11,14442992,4996006,9446986,7,20.1,10067566,3638727,6428839,5.1,14,4375426,6.1,28,293369,295063,1.67E6
1980,3606737,4398578,74756282,74398145,580101,13.2,524373,12,12722077,4570606,8151471,6.1,17.1,11791449,3948489,7842960,5.3,15.8,930628,1.3,31.6,371681,373736,2.13E6
1981,3566598,4340940,73542867,73566467,577520,13.2,609250,14,12763507,5215443,7548064,7.1,17.3,12887309,5035706,7851603,6.8,17.5,-123802,-0.2,34.6,366000,368309,2.15E6
1982,3603900,4470659,74474486,74026852,680259,15.4,505243,11.5,13718866,6253570,7465296,8.4,18.5,12715535,4053512,8662023,5.5,17.2,1003331,1.3,34.4,290033,290683,1.79E6
1983,3688115,4556698,72721551,73589933,570750,12.6,519551,11.5,12476786,4732178,7744608,6.4,17,14274866,4657017,9617849,6.3,19.4,-1798080,-2.4,34,328830,330877,1.97E6
1984,3836195,4722714,77388403,75009024,666823,14.4,504265,10.9,15142919,5558842,9584077,7.4,20.2,10425772,3823319,6602453,5.1,13.9,4717147,6.3,27.8,309469,311099,1.76E6
1985,3975795,4877062,80893755,79581634,675072,14,531498,11.1,14691475,5409578,9281897,6.8,18.5,12070511,4728595,7341916,5.9,15.2,2620964,3.3,30.4,337344,339682,2.21E6
1986,4085838,5010462,83470550,82167333,711698,14.4,559035,11.3,15486149,6247087,9239062,7.6,18.8,12812919,4733473,8079446,5.8,15.6,2673230,3.2,31.2,364206,365795,2.4E6
1987,4179675,5165455,85653094,84884245,782979,15.4,606080,11.9,15927751,6438960,9488791,7.6,18.8,14446205,5746854,8699351,6.8,17,1481546,1.8,34,389346,393442,2.7E6
1988,4197485,5221172,87414911,86061554,701090,13.5,612383,11.8,16545470,6319985,10225485,7.3,19.2,13688116,5250776,8437340,6.1,15.9,2857354,3.3,31.8,408131,408150,2.43E6
1989,4211657,5280117,90419914,88882788,678557,12.9,623367,11.9,16581536,6253668,10327868,7,18.7,13708679,5285180,8423499,5.9,15.4,2872857,3.3,30.8,392589,396563,2.73E6
1990,4314052,5412226,92584375,91494727,707407,13.2,542976,10.2,15668581,5879285,9789296,6.4,17.1,13377531,4591637,8785894,5,14.6,2291050,2.5,29.2,371343,373964,2.53E6
1991,4367741,5522254,91443232,91975822,694812,12.7,584131,10.7,14639565,6021074,8618491,6.5,15.9,15735583,5167016,10568567,5.6,17.1,-1096018,-1.2,31.8,367718,373568,2.77E6
1992,4382485,5576320,91726913,91584943,694544,12.5,613595,11,15505622,5744216,9761406,6.3,16.9,15026002,5253772,9772230,5.7,16.4,479620,0.5,32.8,391536,400324,2.71E6
1993,4453718,5630324,93298853,92479102,646761,11.5,575339,10.3,15335518,5110586,10224932,5.5,16.6,13698279,4678794,9019485,5.1,14.8,1637239,1.8,29.6,378948,383192,2.31E6
1994,4527885,5726912,94987125,94106165,688639,12.1,573295,10.1,15343221,5598204,9745017,5.9,16.3,13500826,4689188,8811638,5,14.3,1842395,2,28.6,383599,386708,2.42E6
1995,4616894,5839536,98519581,96720873,712637,12.3,575642,10,16240213,5910157,10330056,6.1,16.8,12574196,4440197,8133999,4.6,13,3666017,3.8,26,387018,390367,2.34E6
1996,4693000,5933821,100379925,99428848,712640,12.1,603728,10.3,16064364,6075147,9989217,6.1,16.2,14289993,5029066,9260927,5.1,14.4,1774371,1.8,28.8,401655,401767,2.47E6
1997,4753873,6043215,103203763,101875355,774264,12.9,663048,11.1,18524281,6874853,11649428,6.7,18.2,15796977,5995862,9801115,5.9,15.5,2727304,2.7,31,413702,413708,2.69E6
1998,4797240,6109158,106275730,104727009,726267,12,643934,10.6,18023811,6644525,11379286,6.3,17.2,14854600,5524293,9330307,5.3,14.2,3169211,3,28.4,423074,423094,2.67E6
1999,4825350,6174621,109065570,107866249,715751,11.7,643319,10.5,18106775,6811607,11295168,6.3,16.8,15671109,5901931,9769178,5.5,14.5,2435666,2.3,29,417642,417642,2.69E6
2000,4837334,6219677,112632346,110827405,706689,11.4,662726,10.7,19313867,7083199,12230668,6.4,17.4,15724541,6069108,9655433,5.5,14.2,3589326,3.2,28.4,407947,407960,2.61E6
2001,4922228,6349310,114349495,113755475,729638,11.6,691782,11,18453115,7075535,11377580,6.2,16.2,17629141,6206326,11422815,5.5,15.5,823974,0.7,31,405746,406102,2.61E6
2002,4955146,6399184,112120227,113040652,817168,12.8,757812,11.9,19107130,8041463,11065667,7.1,16.9,20874910,7447090,13427820,6.6,18.5,-1767780,-1.6,33.8,400985,402265,2.7E6
2003,5008315,6460419,112716862,111899913,780389,12.2,608940,9.5,18267477,6737424,11530053,6,16.3,16153871,5178273,10975598,4.6,14.4,2113606,1.9,28.8,410484,412538,2.78E6
2004,5084110,6542186,113997873,112992760,770119,11.9,624925,9.6,17739347,6330374,11408973,5.6,15.7,15539036,5406599,10132437,4.8,13.8,2200311,1.9,27.6,412352,413866,2.76E6
2005,5185628,6679509,115516386,114481196,811447,12.3,621170,9.4,17881076,6980098,10900978,6.1,15.6,15712989,5186615,10526374,4.5,13.7,2168087,1.9,27.4,424166,425610,3E6
2006,5224826,6781667,118915230,116956594,831677,12.4,679147,10.1,19137478,7246313,11891165,6.2,16.4,15131253,5353655,9777598,4.6,12.9,4006225,3.5,25.8,457524,459026,3.17E6
2007,5285382,6888055,119912161,119188263,819375,12,713588,10.5,19427950,7020631,12407319,5.9,16.3,18059773,5998608,12061165,5,15.2,1368177,1.1,30.4,445291,450664,2.84E6
2008,5243001,6861933,120081553,119597823,712836,10.4,704795,10.3,17418724,6141284,11277440,5.1,14.6,16555702,5148828,11406874,4.3,13.8,863022,0.8,27.6,485918,486869,3.09E6
2009,5070536,6677058,113663668,116511180,609303,9,805677,11.9,13544013,5052690,8491323,4.3,11.6,19475837,5463984,14011853,4.7,16.7,-5931824,-5.1,23.2,508665,511105,2.97E6
2010,4998035,6596794,111056540,112016577,662815,10,705646,10.7,14019091,5315744,8703347,4.7,12.5,15939166,4825087,11114079,4.3,14.2,-1920075,-1.7,25,446944,448360,2.74E6
2011,4978038,6588336,113212838,111900723,682779,10.4,659452,10,15729834,5398418,10331416,4.8,14.1,13105603,4281503,8824100,3.8,11.7,2624231,2.4,23.4,470591,473887,2.8E6
